Sample Label,Species,GROUPS,Fresh (0) Spent (1) MEDIAblank (2) buffer blank (3),Spent media species,replicate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
502.519.2,502,6,1,519,2,5311.567912,545680.2007,540936.6534,1149947.564,3328384.832,2103858.462,1265126.507,2638456.475,296014.4015,347652.4971,600664.6462,36971.0771,2254645.553,280509.9127,1817688.034,317883.5744,515348.349,624912.6831,900413.9505,77040.37077,542356.6167,1014296.923,196988.4251,153679.4037,59761.59474,113424.3361,1562959.965,147660.6066,65685.02301,180433.5474,304610.0396,241559.535,631611.8621,632681.5814,267249.6688,87381.7508,285950.4281,164808.1068,782368.0177,563912.304,1534.40987,7370.697496,1358.836687,2351.195832,723.7065462,2832.392311,17360.62472,45467.82149,7680.398687,3050.227569,3006.307303,2875.551347,764.2059934,10315.10505,4210.716014,6554.41464,758.6326891,6306.733057,2731.86345,595.7541463,617.5361796,94285.24912,272512.4625,108762.4097,147793.2989,128371.9922,666263.1105,13845.40248,10095.90031,21077.05587,73340.40483,15035.54142,6087.354425,20114.47444,3966.661299,2072.903861,15520.94683,9016.236841,3284.144389,6971.8165,2495.076293,64185.47222,1469.287491,6573.265482,1070.005533
360.492.r2.2,360,2,1,492R,2,5048.355988,397398.4508,901188.8039,663075.2001,1940273.596,853410.4555,561717.3327,90873.98865,352958.7067,241098.2819,360703.3323,21533.67957,884238.696,601650.978,290473.9736,122864.5949,230102.3466,258002.5985,69853.42261,42532.01,344165.1528,355103.2457,86272.95027,187286.8086,43520.30571,159946.6483,756426.5944,51409.78997,45792.05117,70340.64855,134897.8475,134713.7976,209351.4351,211571.9292,132294.0177,51337.96585,207422.6668,39324.05761,592441.2915,399551.2664,4192.834074,9163.219004,1918.133773,1403.685379,470.7017706,2430.519474,13938.26016,13382.52422,4108.694645,3787.483172,664.9837901,438.5044013,224.2547242,8603.958155,794.0137439,1777.428056,175.9823782,1658.665748,265.3645246,108.2732482,536.077344,90758.478,112735.0238,57375.68712,96866.97504,73933.44234,295595.4423,8203.579015,6242.609156,13926.79182,11778.91733,12004.96505,5653.645345,26035.07981,3691.677223,2191.990863,21306.42238,6090.65734,2427.062239,6160.612833,1900.520189,4941.256882,1350.635877,4540.471082,1318.217434
502.492.4,502,6,1,492,4,3456.174976,377973.8767,543000.6406,537912.5113,1784498.545,778431.3736,500184.3091,76575.31554,164186.6292,226875.9976,328824.2631,20305.2149,775478.679,278628.4165,339918.7197,112732.0876,212980.7688,231829.5435,62226.05829,40583.59039,320577.6279,339550.994,78459.94133,177431.4407,41210.68292,145070.3585,696102.5217,52309.35636,49946.43918,167879.8386,134171.8885,128174.7103,183798.9577,185176.25,121464.7542,67988.77555,205455.0193,44361.75702,570891.1289,391074.7671,4822.921027,9218.089518,81644.11067,10417.54487,433.0797592,12642.05872,8853.235005,21842.29517,5881.230548,3126.425458,1318.228473,896.3274636,423.4282456,21432.70615,1496.263399,1533.427788,311.4466814,1334.272478,162.7170392,91.74224329,123.0321429,90123.0393,99138.15948,46239.12488,93980.75373,73806.88577,272922.675,9071.520633,6672.430297,14322.27052,38352.28468,10669.36777,4237.944679,9421.686754,2777.863038,1777.833727,7403.384627,16462.50345,2139.541365,17492.39262,1933.600757,7270.594905,1200.234686,3467.862278,1982.319079
519.519.2,519,7,1,519,2,5250.966852,529004.7915,534946.9758,1101742.627,3320619.604,2067088.806,1255479.564,2533759.463,91155.5543,280621.16,609016.6144,37951.89086,2223669.812,290410.3641,1715374.316,304088.2888,504153.5403,613394.6765,868530.2964,104119.3869,541480.6029,983045.2719,193079.1277,157002.3127,60563.98741,114168.3459,1550503.474,140651.6457,67386.40345,180747.3789,270569.145,242348.0426,617768.1769,620524.1349,261062.7227,94856.17009,287512.8011,158139.2995,796423.9928,575945.6344,1232.019191,6959.062606,1380.309584,1904.103,719.7179487,2346.325343,15795.7937,45022.23323,7901.507355,2681.425091,3136.850378,2460.707087,743.9428292,11401.69467,3822.910186,4882.565151,676.6675708,4715.368917,2883.064818,388.8632755,1300.365005,95555.75857,271973.6648,111181.8466,146940.3675,128518.418,667049.3657,15093.42946,8359.391558,18495.74188,41633.18752,15216.51117,6215.13411,29077.7966,4070.848694,2476.527406,23740.62464,9459.243642,3473.822921,7195.572123,2505.900498,67967.74547,1218.707381,4092.626434,4318.055214
502.4,502,6,0,0,4,3472.692651,383463.2281,483555.2302,512552.8084,1716747.022,746486.964,479740.046,75163.97496,112603.9743,245145.2871,319994.5177,27919.08363,730159.4779,224628.0431,449192.3987,107264.5579,208262.6105,218368.5283,60966.64403,42737.82879,303557.5898,619509.1994,72906.59602,171074.0409,40604.5526,141722.5427,677696.8178,50177.50614,43365.02921,127488.6136,115539.2626,120855.2851,176343.8452,177996.0871,117693.6768,70781.52001,198403.8542,36842.46326,542866.5716,393848.952,4736.287578,9256.299037,59806.86821,3135.755576,667.8048704,12372.28653,7823.581599,20313.11251,2451.161788,1741.749355,2223.289275,3600.535379,555.7628596,3718.222561,5394.618652,10596.80088,715.6603399,10316.31681,3261.760313,164.3261224,10.08194476,91503.9102,93872.10443,45197.71737,93511.40722,78356.04831,264568.8171,7923.264731,6385.943514,12807.90579,10354.70345,19405.69791,5127.280663,5740.60893,3303.811425,3656.53799,4406.495004,6463.71826,4805.259885,6446.478182,2558.462991,6494.064926,1799.384011,4408.647846,1403.085233
360.360.4,360,2,1,360,4,3163.556589,356960.7948,421233.8361,431324.232,1866410.1,859557.9455,641304.5269,77060.07903,194983.2079,210040.3567,649353.2078,24298.10195,918071.0348,191488.7187,334368.8629,114324.789,215264.9166,272315.568,62575.45401,168373.5949,289175.705,302775.8602,88009.17184,178750.8339,41536.93744,148975.0651,754866.7663,49414.83249,56523.44802,159300.2013,157075.7115,170222.5299,244964.4273,246640.3765,147674.9836,80484.70365,205223.1152,66567.42674,475775.2034,420903.3023,2697.357626,22018.58989,85852.92265,3633.168961,2350.199899,766.1043474,6954.722546,21547.99219,3044.478272,3303.508049,523.8797781,853.0089335,194.6146362,3163.862087,931.361737,3104.072693,2339.955127,2939.797191,278.8722809,61.02439836,478.9140932,71366.06271,128239.0323,65571.9014,103388.2596,70800.212,311375.6757,8673.467,5827.573325,15537.34979,12975.76107,9224.397245,5161.051056,25119.42227,3196.551497,1873.119257,19247.21815,5116.340335,2253.41868,2448.271106,3008.997335,8212.905141,3716.291373,4574.644396,1183.820294
519.356.3,519,7,1,356,3,3734.081645,572560.1445,609734.2546,1277408.773,1175006.481,514153.7733,293405.7213,1603866.447,304761.0281,212127.3429,130834.0321,25811.02365,337891.7093,346352.0922,713831.614,224251.9544,321169.483,241762.5104,392051.5035,106599.6658,345370.7909,396004.112,79445.70104,144813.2344,38323.776,114806.9883,711249.8885,48721.52269,21523.13277,68318.63116,141121.6108,48772.44316,107745.6306,108768.563,72830.93709,39686.54283,176106.2664,43364.84402,518967.6776,326051.3738,2189.882151,7206.256668,735.2834486,1248.230168,496.2657309,2141.531126,5085.049254,22547.14549,3665.238079,1726.804766,1849.580823,3313.327373,413.6908499,5203.105914,5302.79654,3692.333165,474.5488009,3572.521307,2423.3709,152.5113761,478.1570619,83106.56833,105160.581,50667.09774,91746.0755,75561.64359,281877.6282,8263.370535,6341.854568,10962.85789,7077.390177,14403.42679,15815.09653,7634.546252,9288.922315,3371.244785,4516.890085,6160.778303,3763.39251,7669.950539,2348.340169,13860.93314,1634.742601,4428.789122,1305.794814
361.356.4,361,3,1,356,4,4076.566546,635011.5944,681169.3886,1355921.431,1195928.067,455046.0489,246127.7605,1441091.759,210416.8805,228371.1151,211440.576,27964.90306,255679.3538,387146.9777,547032.6947,227207.8496,331331.2557,224597.6042,332374.1773,178380.6785,358677.9154,314803.3772,75721.77107,179132.6637,41987.03674,149042.6129,711913.8,43125.11429,23786.31251,64511.88666,132478.8503,47241.83304,81946.17259,83183.27567,71041.34021,46290.57797,198484.3816,46673.88341,565707.6798,336782.2159,3158.43184,11369.08594,1035.061368,1603.392849,843.1162007,1749.825386,6863.156081,14783.56431,2283.988216,1878.246025,2176.909808,1348.789508,426.91581,2915.352395,1655.709744,4940.903377,770.8994428,4777.890801,2906.961303,145.8693976,126.1147385,96907.70917,96971.41279,47141.10338,96855.72647,81244.56925,273847.4006,8477.760362,6936.090367,10499.24824,8130.153417,17165.98492,19210.5375,9486.679295,12861.62432,2002.724435,5636.867651,5708.468589,4700.923461,3508.415517,2825.18597,17542.63404,2114.413103,5102.147343,1523.089931
500.492.2,500,5,1,492,2,3713.921243,387134.4444,579657.6836,550823.0031,1859666.349,819641.9616,534131.7498,80732.40193,170070.8652,232432.7478,340282.4645,20588.36498,805063.9481,305003.8698,341061.4086,116021.7577,220028.1545,237877.6286,65078.97013,44049.60206,328042.1916,331506.9868,81192.19882,183831.0472,42694.20668,150383.6459,721565.71,53341.69517,52089.76246,174274.8841,118553.9767,133296.6279,190974.8139,192571.956,127031.0165,70275.01411,213772.5275,46862.39495,589742.0502,409826.611,5153.319425,9705.4217,84673.57302,10915.76162,429.3888959,14541.66331,9246.916184,24658.73494,6828.074623,3446.783754,1300.090214,2615.637927,381.5247272,17260.96299,4643.849451,1643.364151,262.3897362,1461.984666,9.218100211,1938.089872,118.615448,92774.95526,102310.1054,42590.81668,99273.15944,75338.04177,282625.3359,11450.7461,7145.043355,14337.55484,33654.24152,10871.67884,7948.598103,9857.226225,6237.334918,2737.792711,7305.063031,12637.71429,2237.773974,16400.43544,1863.503476,11411.10393,1306.252088,4267.668611,1022.025397
502.1,502,6,0,0,1,3320.348176,362617.2828,458161.0143,486733.641,1621497.347,708586.9537,453968.5263,70741.01951,108051.6511,232993.1071,301347.6453,26406.48846,691142.2739,209431.4748,424425.2405,101079.7307,196459.681,206436.4615,57468.12499,40108.47276,288864.1869,584629.8258,68628.97594,161916.0753,38341.50591,133464.3505,640518.3062,46925.35813,40859.71331,120680.4191,112801.079,114521.6677,166804.484,168105.4763,110760.4732,67088.56792,188651.531,35800.57682,512354.577,371245.4765,4336.672504,8453.218171,56192.00355,2840.778734,767.2715122,11947.78096,7441.052887,19074.32088,2271.012766,1649.220851,2167.573343,3415.084888,522.3862181,3430.704702,5064.203175,10025.45695,797.3748767,9717.808872,3082.28042,71.40743809,55.14215658,86231.34477,88549.31128,42156.40696,88346.62451,74236.44293,250203.7629,8685.078404,6043.840453,11918.31716,11248.8034,17832.28347,4744.704164,5702.009994,3305.901945,3556.421171,4211.291439,6051.104634,4456.040876,5948.449824,2361.474817,6121.645049,1706.152539,4020.526548,1132.37776
