Sample Label,Species,GROUPS,Fresh (0) Spent (1) MEDIAblank (2) buffer blank (3),Spent media species,replicate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
361.R3.3,361,3,0,0,3,4512.608648,494881.6494,604162.8667,643959.2353,2295080.566,989260.6377,653655.1998,111205.6376,253802.5994,404376.0922,1343318.99,36140.58301,973474.9637,289996.7983,463955.0434,137517.1254,268986.7776,288190.4358,81566.9096,48545.84323,402107.0101,364888.2026,97640.98588,222324.9926,46801.20332,192636.5807,885695.3519,55394.57013,57682.38276,80961.80315,124816.363,168756.6712,235976.2767,238960.7231,163071.1204,72565.00494,242283.814,131316.6256,691569.3194,516505.0085,3197873.253,11408.37954,1965.355755,1429.822214,346.753613,10.07863995,11364.78195,14839.27157,2796.825788,2132.012097,2494.817184,1282.352445,405.2291451,2219.123785,1370.419014,5412.182577,882.1440456,5282.641361,2765.280659,18.7460146,-112.6370803,119517.0126,132477.2921,41113.08327,119136.3702,102422.1756,351132.7332,10484.11006,8094.885093,15467.42856,12328.35243,15267.01438,8134.823395,24205.68172,6350.886853,7163.43765,22928.30819,6038.755572,6259.11223,4044.90591,3192.852687,33334.42177,2718.708628,4669.744773,220.1706956
361.R3.4,361,3,0,0,4,4146.622119,446566.1221,549055.7697,581565.0463,2068027.674,887559.0738,590876.3546,94272.92695,234702.0875,363077.2188,1218367.71,34096.30374,886239.9353,260020.4689,425859.6215,124623.4564,243206.416,264097.0246,73229.76255,43529.98561,351775.6818,329854.4397,89313.6443,199521.3711,43321.40628,172810.641,805691.8482,51045.89197,53356.47574,71759.43289,108647.3002,151554.054,213199.8609,215448.9106,146603.4874,70602.05479,220317.5703,124266.9097,616259.1908,462545.3622,2884084.365,10086.99831,1719.406573,1324.900848,241.8437411,161.7102654,10330.4139,13503.54384,2457.989267,1971.362727,2255.894819,793.4187428,435.3547606,1982.113068,946.0248052,4781.024937,785.7920082,4693.705385,2486.922773,-15.29656267,-83.89900439,106401.001,118422.7436,36851.96452,106855.347,92390.9009,316938.2723,9412.93025,7022.414888,12918.87391,8559.331411,22709.45432,8665.918031,22379.91433,9582.781388,2880.386241,18326.84531,5470.734014,5400.064614,3442.181187,2845.826429,30338.9214,2415.975968,4442.925628,560.9612163
492.360.R3.1,492,,1,360,1,4823.050931,484634.9272,633222.93,596931.5014,2502745.912,1155579.741,850832.1655,111057.4423,456257.9431,344753.7359,864303.6919,33349.97841,1229909.913,319832.8279,444224.0233,151092.9676,287023.2067,354330.791,83507.71186,54157.20344,402922.0276,398573.3479,119060.0248,235167.7604,50420.08009,203649.7798,994539.7281,61076.82923,67730.69749,214385.8898,161571.72,238088.4439,331620.4047,335995.4115,197455.7452,84853.16091,267525.8638,81359.32437,632535.2547,551501.464,3165288.707,34359.90507,113003.0484,429.8264937,3488.472672,469.989628,11521.5235,29078.22335,4421.52944,5512.66684,416.0393195,-233.1348316,42.96204512,5132.038849,-157.6478787,-396.2202161,-39.25576142,-327.3018568,-569.3442291,-126.5931609,482.8007699,99493.8998,169745.2348,52918.13957,133598.2247,95291.98649,410326.714,9155.022362,8170.438456,18974.99782,12198.37139,15604.76979,9248.573794,37157.53893,4647.601252,3779.7807,29521.65049,4126.705028,2849.9286,3618.097535,2278.752734,10195.30696,1358.954788,5066.409356,246.0001669
492.360.R3.2,492,,1,360,2,4594.914887,472397.5975,602401.0719,576685.7506,2385340.957,1114868.114,814556.7112,102025.6216,438534.9376,325180.8569,834379.7951,32011.86826,1185138.378,297820.0437,424883.49,146338.2709,277995.8015,338964.1833,81325.40312,53077.22694,393137.8847,384126.5802,114538.4154,227961.1725,48850.99097,196325.4974,958147.4599,59315.7171,65561.261,206903.129,140335.1051,228090.8513,315773.604,319416.6727,187351.4631,89043.60423,258691.8479,79001.95816,610617.6528,533401.9384,3075304.469,32622.12677,108971.8988,756.4355008,3112.385315,183.3333251,10362.71857,29203.23764,4511.113227,5274.770809,397.1356056,-323.9270344,-2.323856587,4755.628298,-352.9270714,-96.80911129,-25.14420355,-101.5294818,-402.0850365,-189.5735333,458.9148097,96355.49668,163058.7486,50517.52276,128773.1191,92936.23253,392528.3175,9034.449231,9237.239105,18259.69106,12109.17194,14951.74635,8005.768018,35060.03475,4567.678155,3546.239613,28612.55625,4265.7105,2760.240621,3426.72836,2327.577332,9710.744033,1286.832602,4644.305911,163.7530849
492.360.R3.3,492,,1,360,3,4765.741241,464161.6232,646236.7916,581117.9013,2380672.838,1113417.892,817827.3411,100306.1869,445231.1434,324376.458,814246.3672,30567.15724,1191464.132,342299.4037,457386.2126,145891.6992,275785.7461,341136.7611,80732.82387,52687.41245,383523.77,385301.8633,114380.3072,226485.4243,48635.89514,194573.0557,953963.6405,58699.97567,65054.16423,204237.1366,144866.6027,227586.4929,318112.4318,321420.0995,187753.028,77465.10164,255954.7781,75371.30237,602801.2938,524639.9082,3014544.964,33229.40501,107793.159,591.5480736,3086.606102,448.8748685,13661.6723,22263.48545,4011.809032,5190.685217,325.2035331,-224.537765,-71.83727228,4459.853209,-208.5881013,30.97689588,-62.18654794,58.55796115,-522.6266291,-111.0793911,497.9839316,93968.44046,161900.2059,51273.242,126651.9903,91375.24944,391621.5677,8387.969578,10558.76547,16203.61973,8809.25101,13686.77277,7632.584044,35487.86788,4292.631493,3149.553057,29194.13095,3684.139185,2628.613153,3053.461755,2111.612508,9299.549029,1175.283888,4819.425348,137.3515936
492.360.R3.4,492,,1,360,4,4183.698877,423706.0724,580835.7684,528755.8328,2154092.735,1010574.574,736917.3264,86639.15354,401203.7799,285279.0338,742553.5607,27673.96216,1083932.978,299523.5588,413115.8559,133001.3741,250723.752,312185.8011,72943.949,47116.79893,345840.0322,348943.6901,103708.0243,205552.6461,44644.10052,176001.9289,869415.1739,54417.7768,59520.9513,186032.586,153930.5158,204145.3607,287057.7457,289507.3001,170960.7273,76279.09438,231854.4361,66048.38399,546104.1754,475365.7762,2746550.823,29970.75705,98145.92929,731.0557026,2817.540884,335.5550384,11942.29579,21252.09561,3645.97691,4808.542239,279.5854797,48.05981084,28.5582312,4476.510889,337.1622347,-152.1875124,-65.24985824,-121.8315381,-483.3153115,-113.813553,415.8721837,85073.8795,147183.5588,44598.15968,115635.4435,82780.53218,354446.39,7895.806459,8887.716462,16451.58593,12919.687,11025.23112,6709.745867,32252.16664,3855.065057,2527.726296,26921.10865,3208.709193,2412.377424,2716.505432,1981.487657,8560.336985,994.251477,4009.370912,204.1671595
492.361.R3.1,492,,1,361,1,4513.590306,502794.4212,617130.1776,658440.9407,2362788.115,1006795.482,679290.9944,110663.2421,353655.4409,342740.0286,1400276.372,35090.60534,1024625.72,296196.6519,498894.2581,141688.9868,274827.4611,298778.4244,83942.16761,52780.78637,424638.6464,375998.0942,101903.5053,226785.7545,46965.81968,198199.7396,916838.6388,56919.20266,58320.6529,84294.81558,130807.0542,180903.8411,248439.7196,251234.2825,162736.852,69979.49392,252279.4555,126390.8082,701244.659,533591.9198,3325730.487,13837.05137,2063.968309,1404.988287,415.4548376,4.786307617,10985.58784,15849.56545,3052.14558,2445.579499,2527.247724,1125.852192,427.1794874,2327.448231,1230.01506,4996.70924,696.3920134,4843.289278,2369.132315,-56.88226018,-61.65264714,121465.3691,138618.1967,44399.98207,121477.7233,104396.824,363043.4477,10699.28313,8191.474403,12710.44265,10054.64528,64637.03332,7982.655494,27442.4168,5199.523347,3774.916038,22720.21164,6217.349972,6142.707182,4515.434471,3562.410167,35713.71848,2353.722361,5440.449722,557.2150727
492.361.R3.2,492,,1,361,2,4018.99695,443679.8941,552002.8539,583225.5906,2104522.594,894181.0769,607973.9889,94409.94626,322802.4963,304204.1216,1243108.304,32756.22741,910077.4267,262313.0759,450447.445,126056.2462,244985.957,269225.7737,74022.18377,46714.8625,360539.7398,333054.1373,91089.13574,201022.7288,42853.05302,175062.275,817643.64,51518.48505,54123.65943,72905.989,110888.9121,157514.7615,218837.4258,221326.7746,145201.5499,69746.75338,221579.6395,125300.7286,614908.2576,468550.6282,2882657.815,12209.11617,1691.733262,1424.869111,599.6265748,-46.18254988,9810.716988,13810.23032,2722.431895,2223.982846,2263.580821,1176.941545,379.069636,1878.306371,1268.269417,4356.243813,646.7084659,4226.330161,2364.062433,-84.49414672,-6.389350233,105918.292,121433.4337,37362.95462,107174.7482,92589.08161,321898.6461,9418.268425,7207.873493,15972.40893,8933.375874,20932.40424,7687.712929,26128.76008,5127.074933,2895.336606,19794.35756,5327.08253,5256.392877,3530.21475,3222.743511,30925.15866,2202.203942,4430.721167,434.6686391
492.361.R3.3,492,,1,361,3,4950.933906,555654.7691,683705.0895,727370.716,2636850.574,1129582.307,753352.7261,125060.6076,387991.9301,369115.5176,1550698.53,42321.84705,1129984.401,326978.8038,544366.4423,157005.511,305577.381,336494.853,93198.14931,59312.80691,497885.9942,415583.0236,113585.6959,252402.4033,53437.3626,219730.3889,1017422.166,69158.78586,61347.89752,95369.50426,146953.1514,202937.2673,276291.0773,279839.3967,182667.1512,70435.20828,283487.3948,127598.4041,783652.1574,598483.9999,3639953.456,14993.17126,869.5032355,1458.932407,403.8834645,43.1603875,12161.75332,17710.94013,3466.460827,2815.804949,2884.634897,1262.646354,486.1843865,2467.499803,1449.91623,5448.81689,830.4903114,5223.908851,2556.996869,-108.3177222,-92.31701787,136601.1589,156290.7648,50253.20248,137522.135,115649.1185,404039.3542,12015.13483,9192.775167,15337.23939,12241.53789,16874.02367,9840.861346,31306.73755,6050.090863,4552.248157,24847.7766,6759.401479,7053.581828,5736.830865,4053.191679,38481.00901,2572.369919,6124.884728,819.0919328
492.361.R3.4,492,,1,361,4,4282.549289,473674.2895,586088.5018,620283.2582,2232798.422,950119.8538,643001.3459,100903.6541,338315.0051,319951.2905,1322716.091,33126.63938,967946.1554,279729.1279,477148.5977,134209.4683,260338.4803,285045.6378,78946.87994,49996.76625,386529.061,355103.3019,96154.20377,214586.5072,45151.26678,186975.0348,867497.3479,54470.68405,56618.68194,77961.98323,106268.6484,168628.582,232849.7472,235726.1121,153749.4154,70325.261,236277.2269,128907.4938,658137.6676,501578.2966,3080221.276,13029.94207,1744.570843,1253.26748,384.2090951,180.7937598,10461.90779,14878.13077,2861.375023,2442.351133,2404.075728,1075.174205,418.5506132,2093.797426,1206.9365,4455.895448,614.9099231,4370.492553,2271.394247,-82.86809615,-6.43954679,113945.2716,130617.4848,40084.03913,113869.3233,98357.36628,342011.5687,10074.71557,7691.409972,14561.52123,11966.08518,14412.46624,7563.315508,25905.47534,6687.1421,4601.86248,26393.41669,5572.652295,5811.12186,4108.704269,3362.869753,33109.08938,2467.663138,4858.782911,854.3937607
